ISIN,TICKER,NAME,COUNTRY,SECTOR,WEIGHT
IE00073MUWT4,2113382,"TAIWAN SEMICONDUCTOR MANUFACTURING SPON ADS EACH R",TAIWAN,"Information Technology",8.60%
IE00073MUWT4,6771720,"SAMSUNG ELECTRONICS CO KRW100","KOREA, REPUBLIC OF","Information Technology",7.77%
IE00073MUWT4,B929F46,"ASML HOLDING NV EUR0.09",NETHERLANDS,"Information Technology",6.02%
IE00073MUWT4,6450267,"SK HYNIX INC","KOREA, REPUBLIC OF","Information Technology",5.61%
IE00073MUWT4,6870490,"ADVANTEST CORP",JAPAN,"Information Technology",3.34%
IE00073MUWT4,6895675,"TOKYO ELECTRON NPV",JAPAN,"Information Technology",2.91%
IE00073MUWT4,BTMJD19,"ROCHE HLDG.",SWITZERLAND,Pharmaceuticals,2.75%
IE00073MUWT4,7103065,"NOVARTIS AG CHF0.49 (REGD)",SWITZERLAND,Pharmaceuticals,2.47%
IE00073MUWT4,BK6YZP5,"ALIBABA GROUP HOLDING LTD","CAYMAN ISLANDS","Consumer Discretionary",2.46%
IE00073MUWT4,989529,"ASTRAZENECA ORD USD0.25","UNITED KINGDOM",Pharmaceuticals,2.22%
IE00073MUWT4,7123870,"NESTLE SA",SWITZERLAND,"Consumer Staples",2.21%
IE00073MUWT4,6144690,"BHP GROUP LIMITED",AUSTRALIA,Materials,2.19%
IE00073MUWT4,4846288,"SAP SE",GERMANY,"Information Technology",2.02%
IE00073MUWT4,4834108,"SCHNEIDER ELECTRIC SE EUR4.00",FRANCE,Industrials,1.76%
IE00073MUWT4,6610403,"MURATA MANUFACTURING CO NPV",JAPAN,"Information Technology",1.56%
IE00073MUWT4,BVZK7T9,"UNILEVER PLC","UNITED KINGDOM","Consumer Staples",1.51%
IE00073MUWT4,6429104,"HITACHI NPV",JAPAN,Industrials,1.46%
IE00073MUWT4,BQRRZ00,"RECRUIT HOLDINGS CO LTD NPV",JAPAN,Industrials,1.44%
